"TOA5","ATLAS-RN LAJES","CR300","26014","CR300-CELL215.Std.10.03","CPU:LAJES_RN_rev1.CR300","20950","GHI1_seg_Lajes"
"TIMESTAMP","RECORD","GHI1"
"TS","RN","W/m^2"
"","","Smp"
"2023-02-10 00:00:00",31492318,65535
"2023-02-10 00:00:01",31492319,65535
"2023-02-10 00:00:02",31492320,65535
"2023-02-10 00:00:03",31492321,65535
"2023-02-10 00:00:04",31492322,65535
"2023-02-10 00:00:05",31492323,65535
"2023-02-10 00:00:06",31492324,65535
"2023-02-10 00:00:07",31492325,65535
"2023-02-10 00:00:08",31492326,65535
"2023-02-10 00:00:09",31492327,65535
"2023-02-10 00:00:10",31492328,65535
"2023-02-10 00:00:11",31492329,65535
"2023-02-10 00:00:12",31492330,65535
"2023-02-10 00:00:13",31492331,65535
"2023-02-10 00:00:14",31492332,65535
"2023-02-10 00:00:15",31492333,65535
"2023-02-10 00:00:16",31492334,65535
"2023-02-10 00:00:17",31492335,65535
"2023-02-10 00:00:18",31492336,65535
"2023-02-10 00:00:19",31492337,65535
"2023-02-10 00:00:20",31492338,65535
"2023-02-10 00:00:21",31492339,65535
"2023-02-10 00:00:22",31492340,65535
"2023-02-10 00:00:23",31492341,65535
"2023-02-10 00:00:24",31492342,65535
"2023-02-10 00:00:25",31492343,65535
"2023-02-10 00:00:26",31492344,65535
"2023-02-10 00:00:27",31492345,65535
"2023-02-10 00:00:28",31492346,65535
"2023-02-10 00:00:29",31492347,65535
"2023-02-10 00:00:30",31492348,65535
"2023-02-10 00:00:31",31492349,65535
"2023-02-10 00:00:32",31492350,65535
"2023-02-10 00:00:33",31492351,65535
"2023-02-10 00:00:34",31492352,65535
"2023-02-10 00:00:35",31492353,65535
"2023-02-10 00:00:36",31492354,65535
"2023-02-10 00:00:37",31492355,65535
"2023-02-10 00:00:38",31492356,65535
"2023-02-10 00:00:39",31492357,65535
"2023-02-10 00:00:40",31492358,65535
"2023-02-10 00:00:41",31492359,65535
"2023-02-10 00:00:42",31492360,65535
"2023-02-10 00:00:43",31492361,65535
"2023-02-10 00:00:44",31492362,65535
"2023-02-10 00:00:45",31492363,65535
"2023-02-10 00:00:46",31492364,65535
"2023-02-10 00:00:47",31492365,65535
"2023-02-10 00:00:48",31492366,65535
"2023-02-10 00:00:49",31492367,65535
"2023-02-10 00:00:50",31492368,65535
"2023-02-10 00:00:51",31492369,65535
"2023-02-10 00:00:52",31492370,65535
"2023-02-10 00:00:53",31492371,65535
"2023-02-10 00:00:54",31492372,65535
"2023-02-10 00:00:55",31492373,65535
"2023-02-10 00:00:56",31492374,65535
"2023-02-10 00:00:57",31492375,65535
"2023-02-10 00:00:58",31492376,65535
"2023-02-10 00:00:59",31492377,65535
"2023-02-10 00:01:00",31492378,65535
"2023-02-10 00:01:01",31492379,65535
"2023-02-10 00:01:02",31492380,65535
"2023-02-10 00:01:03",31492381,65535
"2023-02-10 00:01:04",31492382,65535
"2023-02-10 00:01:05",31492383,65535
